taxon	SRR13378546	SRR13378550	SRR13378552	SRR13378554	SRR13378555	SRR13378556	SRR13378560	SRR13378562	SRR13378563	SRR13378564	SRR13378565	SRR13378566	SRR13378567	SRR13378569	SRR13378571	SRR13378573	SRR13378574	SRR13378577	SRR13378578	SRR13378579	SRR13378580	SRR13378581	SRR13378582	SRR13378583	SRR13378584	SRR13378585	SRR13378586	SRR13378588	SRR13378589	SRR13378590	SRR13378591	SRR13378592	SRR13378594	SRR13378595	SRR13378597	SRR13378599	SRR13378600	SRR13378601	SRR13378602	SRR13378603	SRR13378605	SRR13378606	SRR13378607	SRR13378608	SRR13378609	SRR13378610	SRR13378614	SRR13378616	SRR13378618	SRR13378621	SRR13378622	SRR13378623	SRR13378624	SRR13378625	SRR13378628	SRR13378630	SRR13378631	SRR13378632	SRR13378633
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii 	20645.0	0	113.0	0	0	0	0	131488.0	0	0	0	1157.0	0	0	460.0	282.0	0	238.0	0	133894.0	0	0	663.0	0	0	0	0	0	0	71623.0	0	0	202.0	30843.0	0	21276.0	89700.0	0	0	180455.0	0	32964.0	79561.0	92544.0	0	0	6172.0	6247.0	106966.0	309866.0	0	6065.0	27985.0	21228.0	160503.0	0	39.0	131266.0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae 	2792.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198506.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	862.0	59449.0	0	2646.0	0	0	0	5478.0	0	0	0	0	0	0	0	0	3801.0	0	455.0	0	0	2847.0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47 	5700.0	0	0	0	0	105.0	0	0	0	0	0	0	0	0	0	0	0	0	0	335.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3 	0	0	0	0	0	0	0	204.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181 	0	0	0	0	0	0	0	206.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25408.0	0	0	0	0	0	0	0	0	0	59186.0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495.0	0	0	0	0	0	0	0	0	0	0	0	0	0	10373.0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum 	0	1514.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305.0	0	176.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_thermacidophilum 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4927.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_thermophilum 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4055.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae 	0	0	0	0	0	0	0	25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_argentoratense 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1294.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1360.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa 	0	0	0	0	0	4382.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865.0	0	0	0	0	0	0	824.0	0	0	0	0	0	0	0	1479.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_deltae 	0	0	0	0	0	0	0	210.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.0	0	0	0	0	0	0	0	0	53.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.0	0	0	0	0	0	0	0	0	0	0	156.0	0	0	0
